nama_fasilitas ,penanggung_jawab,bulan,jumlah
NPC - Paraswim,DISPORA PROVINSI ,01,215
HBKB Jln Sudirman,DISPORA PROVINSI ,01,47620
Jumlah Masyarakat berolahraga,DISPORA PROVINSI ,01,0
Suku Dinas Jakarta Pusat,Suku Dinas Jakarta Pusat,01,0
Suku Dinas Jakarta Utara,Suku Dinas Jakarta Utara,01,0
Suku Dinas Jakarta Barat,Suku Dinas Jakarta Barat,01,0
Suku Dinas Jakarta Selatan,Suku Dinas Jakarta Selatan,01,0
Suku Dinas Jakarta Timur,Suku Dinas Jakarta Timur,01,0
Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,02,7350
Gedung Olahraga Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,02,0
Kolam Renang Gelanggang Remaja Jakarta Pusat,Jakarta Pusat,02,866
Gedung Auditorium Kebon Jahe Tanah Abang,Jakarta Pusat,02,2150
Gelanggang Remaja Kecamatan Tanah Abang,Jakarta Pusat,02,4583
Gelanggang Remaja Kecamatan Kemayoran,Jakarta Pusat,02,1480
Gelanggang Remaja Kecamatan Sawah Besar,Jakarta Pusat,02,1425
Gelanggang Remaja Kecamatan Johar Baru,Jakarta Pusat,02,2494
Gelanggang Remaja Kecamatan Cempaka Putih,Jakarta Pusat,02,2536
Stadion Sepak Bola Banteng,Jakarta Pusat,02,0
Gedung Olahraga Tenis Meja,Jakarta Pusat,02,705
Kolam Renang Kebon Jahe Tanah Abang,Jakarta Pusat,02,1240
Gedung Olahraga Kemakmuran,Jakarta Pusat,02,1347
Stadion Sepak Bola V I J,Jakarta Pusat,02,1380
Kolam Renang Gelanggang Remaja Jakarta Barat,Jakarta Barat,02,4833
Gedung Auditorium Jakarta Barat,Jakarta Barat,02,3141
Gedung Olahraga Jakarta Barat,Jakarta Barat,02,5357
GR Kecamatan Kalideres,Jakarta Barat,02,1994
GR Kecamatan Kembangan,Jakarta Barat,02,1762
GR Kecamatan Kebon Jeruk,Jakarta Barat,02,2042
GR Kecamatan Tambora,Jakarta Barat,02,1559
GR Kecamatan Grogol Petamburan,Jakarta Barat,02,13156
GR Kecamatan Palmerah,Jakarta Barat,02,1625
Gedung Olahraga,Jakarta Selatan,02,4692
Gedung Pertunjukan,Jakarta Selatan,02,0
Kolam Renang,Jakarta Selatan,02,2419
Gedung Bridge,Jakarta Selatan,02,367
Stadion Bola PSPI Tebet,Jakarta Selatan,02,1245
Lapangan Tenis,Jakarta Selatan,02,2840
GR Kecamatan Tebet,Jakarta Selatan,02,1987
GR Kecamatan Kebayoran Lama,Jakarta Selatan,02,1759
GR Kecamatan Kebayoran Baru,Jakarta Selatan,02,2303
GR Kecamatan Pesanggrahan,Jakarta Selatan,02,2015
GR Kecamatan Mampang Prapatan,Jakarta Selatan,02,1863
GR Kecamatan Jagakarsa,Jakarta Selatan,02,1006
GR Kecamatan Pasar Minggu,Jakarta Selatan,02,6461
Wisma Atlet,Jakarta Selatan,02,68
Gedung Olahraga,Jakarta Utara,02,1419
GR Kecamatan Tanjung Priok,Jakarta Utara,02,13853
GR Kecamatan Cilincing,Jakarta Utara,02,7529
GR Kecamatan Kelapa Gading,Jakarta Utara,02,6051
Kolam Renang,Jakarta Utara,02,2383
Gedung Auditorium,Jakarta Utara,02,145664
GR Kecamatan Koja,Jakarta Utara,02,26424
Area Halaman GRJU,Jakarta Utara,02,32258
Gedung Auditorium,Jakarta Timur,02,6000
Gedung Olahraga,Jakarta Timur,02,430
Kolam Renang,Jakarta Timur,02,1872
GR Kecamatan Jatinegara,Jakarta Timur,02,7179
GR Kecamatan Pulogadung,Jakarta Timur,02,4080
GR Kecamatan Pasar Rebo,Jakarta Timur,02,1800
GR Kecamatan Cipayung,Jakarta Timur,02,1575
GR Kecamatan Kramat Jati,Jakarta Timur,02,3612
GR Kecamatan Makasar,Jakarta Timur,02,6045
GR Kecamatan Duren Sawit,Jakarta Timur,02,1333
GR Kecamatan Cakung,Jakarta Timur,02,3030
GR Kecamatan Matraman,Jakarta Timur,02,0
GR Kecamatan Ciracas,Jakarta Timur,02,9740
Sekretariat,Jakarta Timur,02,713
GOR PKP,Jakarta Timur,02,1465
Lapangan Terbuka Karet Tengsin,Suku Dinas Jakarta Pusat,02,1314
Lapangan Terbuka Pors Serdang,Suku Dinas Jakarta Pusat,02,2050
Lapangan Terbuka Pejompongan,Suku Dinas Jakarta Pusat,02,1784
Lapangan Bulutangkis Komp,Suku Dinas Jakarta Barat,02,3321
Lapangan Bola Voli Pedongkelan,Suku Dinas Jakarta Barat,02,1279
Lapangan Bulutangkis Rawa Melati,Suku Dinas Jakarta Barat,02,1276
Lapangan Bola Voli Kamp,Suku Dinas Jakarta Barat,02,1138
Lapangan Basket Cengkareng Timur,Suku Dinas Jakarta Barat,02,1864
Lapangan Sepakbola Pegadungan,Suku Dinas Jakarta Barat,02,3319
Lapangan Sepakbola Semanan,Suku Dinas Jakarta Barat,02,2087
Lapangan Sepakbola Srengseng,Suku Dinas Jakarta Barat,02,51
Lapangan Sepakbola Kedoya,Suku Dinas Jakarta Barat,02,49
Lapangan Sepakbola Kebon Jeruk,Suku Dinas Jakarta Barat,02,76
Lapangan Sepakbola Persima,Suku Dinas Jakarta Barat,02,8424
Lapangan Sepakbola Wijaya Kusuma,Suku Dinas Jakarta Barat,02,3073
Lapangan Terbuka Jatipulo Palmerah,Suku Dinas Jakarta Barat,02,3629
Gedung Bulutangkis GOR Cendrawasih,Suku Dinas Jakarta Barat,02,1674
Gedung Asrama Atlet GOR Cendrawasih,Suku Dinas Jakarta Barat,02,170
Gedung Serbaguna GOR Cendrawasih,Suku Dinas Jakarta Barat,02,1717
Lapangan Tenis GOR Cendrawasih,Suku Dinas Jakarta Barat,02,386
Lapangan Tenis/Futsal GOR Cendrawasih,Suku Dinas Jakarta Barat,02,740
Stadion Terbuka Taman Sari,Suku Dinas Jakarta Barat,02,500
Stadion Sepakbola GOR Cendrawasih,Suku Dinas Jakarta Barat,02,5377
Lapangan Basket GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,02,0
Lapangan Bulutangkis GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,02,1282
Lapangan Voli GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,02,2867
Fitness Center GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,02,2245
Kolam Renang GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,02,12258
Stadion GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,02,31308
Lapangan Sepakbola Dalam GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,02,11470
Lapangan Sepakbola Luar GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,02,2160
Plaza GOR Soemantri Brodjonegoro,Suku Dinas Jakarta Selatan,02,0
